target_symbol,experiment,model_variant,reward_variant,state_feature_mode,seed_count,mean_final_equity,std_final_equity,mean_cumulative_return,std_cumulative_return,mean_sharpe_ratio,std_sharpe_ratio,mean_max_drawdown,mean_number_of_trades,mean_exposure_ratio,mean_turnover
002475,dqn_with_marketwide_impact_nlp,double_dueling_dqn,one_day_return,official_8d,2,1165790.443455,54011.3125784377,0.16579044345499994,0.054011312578437554,1.5976643507368788,0.4681286686371708,0.06905338338872746,8.0,0.11983471074380166,0.00800321812155867
002475,dqn_with_marketwide_impact_nlp,vanilla_dqn,one_day_return,official_8d,2,1012266.1894650001,17347.011500040942,0.012266189465000021,0.017347011500041008,0.649183157623163,,0.11713652337468528,7.0,0.4462809917355372,0.006502825416590116
002475,dqn_with_marketwide_sentiment_nlp,double_dueling_dqn,one_day_return,official_8d,2,1019322.54478,27326.20488743745,0.01932254477999995,0.02732620488743738,1.077564793699148,,0.00602276832762777,1.0,0.004132231404958678,0.0010004733213949011
002475,dqn_with_marketwide_sentiment_nlp,vanilla_dqn,one_day_return,official_8d,2,991246.50071,157103.23352236778,-0.008753499289999966,0.15710323352236777,-0.4709451726295292,2.3970299288770853,0.060882584514160065,6.5,0.10743801652892562,0.006502838649968755
002475,dqn_with_sector_impact_nlp,double_dueling_dqn,one_day_return,official_8d,2,967691.7174850001,45690.81130969444,-0.0323082825149999,0.045690811309694386,-0.9490102794547917,,0.045757818129030736,3.0,0.012396694214876033,0.003001389693550974
002475,dqn_with_sector_impact_nlp,vanilla_dqn,one_day_return,official_8d,2,1171184.50282,242091.4455561394,0.17118450282000008,0.24209144555613946,1.9543578966178137,,0.038567944757032624,1.5,0.15289256198347106,0.001500473468103592
002475,dqn_with_sector_sentiment_nlp,double_dueling_dqn,one_day_return,official_8d,2,955823.875875,62474.47387065224,-0.044176124124999994,0.06247447387065227,-0.8327844279993738,,0.06984802769999993,7.0,0.03305785123966942,0.007003204753470691
002475,dqn_with_sector_sentiment_nlp,vanilla_dqn,one_day_return,official_8d,2,973985.0214499999,186143.36628073626,-0.02601497855000018,0.18614336628073622,-0.4338331015431207,2.459662797129551,0.10934702985811834,6.5,0.243801652892562,0.0065027755487591585
002475,dqn_without_nlp,double_dueling_dqn,one_day_return,official_8d,2,1004318.85889,15099.567129145027,0.004318858890000055,0.015099567129144977,-0.04187854805993377,0.5443097245799712,0.027585445438252254,6.0,0.045454545454545456,0.0060027835509792946
002475,dqn_without_nlp,vanilla_dqn,one_day_return,official_8d,2,921180.89244,111467.05088549579,-0.07881910756000005,0.11146705088549581,-2.1730773448256975,,0.05179515590133921,1.0,0.045454545454545456,0.0010004398185178907
