run_id,target_symbol,experiment,model_variant,reward_variant,state_feature_mode,seed,final_equity,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,number_of_trades,win_rate,exposure_ratio,turnover,action_hold_count,action_buy_count,action_sell_count
002475_vanilla_dqn_one_day_return_official_8d_seed1,002475,dqn_without_nlp,vanilla_dqn,one_day_return,official_8d,1,842361.7848799999,-0.1576382151200001,-0.20182264072671374,0.10130942091471033,-2.1730773448256975,0.10359031180267841,2,0.01652892561983471,0.09090909090909091,0.0020008796370357814,119,1,1
002475_vanilla_dqn_one_day_return_official_8d_seed1,002475,dqn_with_sector_sentiment_nlp,vanilla_dqn,one_day_return,official_8d,1,842361.7848799999,-0.1576382151200001,-0.20182264072671374,0.10130942091471033,-2.1730773448256975,0.10359031180267841,2,0.01652892561983471,0.09090909090909091,0.0020008796370357814,119,1,1
002475_vanilla_dqn_one_day_return_official_8d_seed1,002475,dqn_with_sector_impact_nlp,vanilla_dqn,one_day_return,official_8d,1,1342369.00564,0.34236900564000017,0.8557993731639009,0.3460333138074844,1.9543578966178137,0.07713588951406525,3,0.1652892561983471,0.30578512396694213,0.003000946936207184,118,2,1
002475_vanilla_dqn_one_day_return_official_8d_seed1,002475,dqn_with_marketwide_sentiment_nlp,vanilla_dqn,one_day_return,official_8d,1,880157.7389400001,-0.11984226105999995,-0.12475567848975078,0.060646850638066414,-2.165901290045624,0.06148217673730827,3,0.0,0.03305785123966942,0.003000837068282596,118,2,1
002475_vanilla_dqn_one_day_return_official_8d_seed1,002475,dqn_with_marketwide_impact_nlp,vanilla_dqn,one_day_return,official_8d,1,1000000.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,121,0,0
002475_vanilla_dqn_one_day_return_official_8d_seed2,002475,dqn_without_nlp,vanilla_dqn,one_day_return,official_8d,2,1000000.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,121,0,0
002475_vanilla_dqn_one_day_return_official_8d_seed2,002475,dqn_with_sector_sentiment_nlp,vanilla_dqn,one_day_return,official_8d,2,1105608.2580199998,0.10560825801999973,0.4129113110031266,0.2976472136422001,1.305411141739456,0.11510374791355826,11,0.21487603305785125,0.39669421487603307,0.011004671460482536,110,6,5
002475_vanilla_dqn_one_day_return_official_8d_seed2,002475,dqn_with_sector_impact_nlp,vanilla_dqn,one_day_return,official_8d,2,1000000.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,121,0,0
002475_vanilla_dqn_one_day_return_official_8d_seed2,002475,dqn_with_marketwide_sentiment_nlp,vanilla_dqn,one_day_return,official_8d,2,1102335.26248,0.10233526248000002,0.22704014145228602,0.18034103258094192,1.2240109447865655,0.06028299229101186,10,0.11570247933884298,0.18181818181818182,0.010004840231654915,111,5,5
002475_vanilla_dqn_one_day_return_official_8d_seed2,002475,dqn_with_marketwide_impact_nlp,vanilla_dqn,one_day_return,official_8d,2,1024532.37893,0.024532378930000043,0.20408229914916975,0.4151473099397186,0.649183157623163,0.23427304674937055,14,0.38016528925619836,0.8925619834710744,0.013005650833180232,107,8,6
002475_double_dueling_dqn_one_day_return_official_8d_seed1,002475,dqn_without_nlp,double_dueling_dqn,one_day_return,official_8d,1,993641.8525800002,-0.006358147419999849,-0.013305427417427573,0.03031126006637929,-0.4267636453762134,0.022753752198665156,4,0.024793388429752067,0.04132231404958678,0.0040018737805080995,117,2,2
002475_double_dueling_dqn_one_day_return_official_8d_seed1,002475,dqn_with_sector_sentiment_nlp,double_dueling_dqn,one_day_return,official_8d,1,1000000.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,121,0,0
002475_double_dueling_dqn_one_day_return_official_8d_seed1,002475,dqn_with_sector_impact_nlp,double_dueling_dqn,one_day_return,official_8d,1,1000000.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,121,0,0
002475_double_dueling_dqn_one_day_return_official_8d_seed1,002475,dqn_with_marketwide_sentiment_nlp,double_dueling_dqn,one_day_return,official_8d,1,1000000.0,0.0,0.0,0.0,,0.0,0,0.0,0.0,0.0,121,0,0
002475_double_dueling_dqn_one_day_return_official_8d_seed1,002475,dqn_with_marketwide_impact_nlp,double_dueling_dqn,one_day_return,official_8d,1,1127598.6780700004,0.12759867807000047,0.28684005902192933,0.2167147279124528,1.266647394675705,0.0690533769581515,3,0.049586776859504134,0.0743801652892562,0.003000907896009166,118,2,1
002475_double_dueling_dqn_one_day_return_official_8d_seed2,002475,dqn_without_nlp,double_dueling_dqn,one_day_return,official_8d,2,1014995.8652,0.014995865199999958,0.03175117806342542,0.10762465243312484,0.3430065492563459,0.03241713867783935,8,0.024793388429752067,0.049586776859504134,0.00800369332145049,113,4,4
002475_double_dueling_dqn_one_day_return_official_8d_seed2,002475,dqn_with_sector_sentiment_nlp,double_dueling_dqn,one_day_return,official_8d,2,911647.75175,-0.08835224824999999,-0.17655075235871553,0.20701638285155555,-0.8327844279993738,0.13969605539999985,14,0.03305785123966942,0.06611570247933884,0.014006409506941382,107,7,7
002475_double_dueling_dqn_one_day_return_official_8d_seed2,002475,dqn_with_sector_impact_nlp,double_dueling_dqn,one_day_return,official_8d,2,935383.4349700002,-0.0646165650299998,-0.13088285640825625,0.13732593733512843,-0.9490102794547917,0.09151563625806147,6,0.008264462809917356,0.024793388429752067,0.006002779387101948,115,3,3
002475_double_dueling_dqn_one_day_return_official_8d_seed2,002475,dqn_with_marketwide_sentiment_nlp,double_dueling_dqn,one_day_return,official_8d,2,1038645.08956,0.0386450895599999,0.08288181763594538,0.07651750822789392,1.077564793699148,0.01204553665525554,2,0.008264462809917356,0.008264462809917356,0.0020009466427898023,119,1,1
002475_double_dueling_dqn_one_day_return_official_8d_seed2,002475,dqn_with_marketwide_impact_nlp,double_dueling_dqn,one_day_return,official_8d,2,1203982.2088399995,0.2039822088399994,0.6898741886114357,0.29408699564970564,1.9286813067980526,0.06905338981930342,13,0.09917355371900827,0.1652892561983471,0.013005528347108174,108,7,6
